ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumInjGas(E3m3).1,CumPrdOil(m3),Percentage_Change_Monthly_Injected_Steam
2018-12-01,139341.5,63181.9,0.0,1225.7,44046,10488,11339939.6,1225.7,7590750.5,2.724508217435684
2019-01-01,146316.5,59398.1,0.0,1225.7,44026,9808,11486256.1,1225.7,7650148.6,5.005687465686814
2019-02-01,119881.8,49961.6,0.0,1225.7,39148,9000,11606137.9,1225.7,7700110.2,18.066793560534865
2019-03-01,148771.8,56547.6,0.0,1225.7,44248,9984,11754909.7,1225.7,7756657.8,24.09873725619733
2019-11-01,139227.7,46398.9,0.0,1258.0,41107,12960,12751069.6,1258.0,8195964.1,4.5336975267533
2004-08-01,11482.2,2961.6,0.0,0.0,23586,4458,1452682.9,0.0,2335893.1,0.4233063373506818
1981-11-01,3593.0,2362.0,0.0,0.0,13104,504,8233.5,0.0,126967.4,16.529213613660122
1982-05-01,4851.0,3881.6,0.0,0.0,11616,576,40107.2,0.0,145932.4,11.190061428440456
1982-07-01,6750.0,4409.8,0.0,0.0,13416,1056,54732.2,0.0,155690.0,14.28571428571429
1982-11-01,13796.7,6413.9,0.0,0.0,17448,1944,88663.7,0.0,182670.3,19.2836084140996
2018-06-01,107936.6,59730.4,0.0,1154.2,42781,17856,10580440.8,1154.2,7220347.7,23.895430127049423
1996-09-01,114588.5,36566.0,0.0,2701.3,74182,19792,10862904.3,2701.3,4448024.1,8.12479948668592
1996-10-01,139031.2,36690.8,0.0,2701.3,73327,22626,11001935.5,2701.3,4484714.9,21.330849081714145
1996-11-01,122718.8,36256.4,0.0,2701.3,72088,20946,11124654.3,2701.3,4520971.3,11.73290599520108
1998-03-01,8075.1,25180.8,0.0,0.0,43606,2912,720845.7,0.0,1302655.9,12.544947735191636
1998-04-01,8787.9,25966.2,0.0,0.0,43488,2442,729633.6,0.0,1328622.1,8.827135267674691
1998-05-01,7878.5,26490.5,0.0,0.0,46401,2976,737512.1,0.0,1355112.6,10.348319848883126
1998-06-01,6934.1,27895.4,0.0,0.0,43448,2880,744446.2,0.0,1383008.0,11.987053373104018
1998-07-01,5852.2,23907.7,0.0,0.0,42653,2688,750298.4,0.0,1406915.7,15.602601635396097
1998-08-01,5765.2,28594.3,0.0,0.0,43885,2208,756063.6,0.0,1435510.0,1.4866204162537144
1998-09-01,7409.0,28145.2,0.0,0.0,41740,2880,763472.6,0.0,1463655.2,28.512454034552132
1998-10-01,6872.0,27404.0,0.0,0.0,44508,2976,770344.6,0.0,1491059.2,7.247941692536108
1998-11-01,6847.3,27526.2,0.0,0.0,43878,2880,777191.9,0.0,1518585.4,0.3594295692665894
1998-12-01,6661.7,23494.9,0.0,0.0,44204,2976,783853.6,0.0,1542080.3,2.7105574460006165
1998-02-01,7175.0,24804.3,0.0,0.0,38972,2688,712770.6,0.0,1277475.1,19.69781757134863
1999-01-01,6170.1,25259.9,0.0,0.0,45557,2976,790023.7,0.0,1567340.2,7.379497725805717
1999-03-01,7694.1,23049.9,0.0,0.0,43401,2976,803651.9,0.0,1611796.4,29.659088994118733
